stagename,award,awyear
G.M. Anderson,AA,1957
Fred Astaire,AFI,
Lauren Bacall,AFI,
Warren Beatty,TMA,2000
Ralph Bellamy,AA,1986
Ingrid Bergman,AFI,
Humphrey Bogart,AFI,
Marlon Brando,AFI,
Jimmy Cagney,AFI,
Charlie Chaplin,AA,1971
Claudette Colbert,AFI,
Sean Connery,BFA,
Gary Cooper,AA,1960
Joan Crawford,AFI,
Bette Davis,AFI,
Jimmy Dean,AFI,
Marlene Dietrich,MMA,1959
Kirk Douglas,AFI,1996
Douglas Fairbanks~sr,AP,
Douglas Fairbanks~jr.,AA,1939
Henry Fonda,AA,1982
Clark Gable,AFI,
Greta Garbo,AA,1955
Ava Gardner,AFI,
Judy Garland,AFI,
Lillian Gish,AFI,
Cary Grant,AA,1969
Alec Guinness,AA,1980
Jean Harlow,AFI,
Rita Hayworth,AFI,
Audrey Hepburn,AFI,
Katherine Hepburn,AFI,
William Holden,AFI,
Burl Ives,AA,
Buster Keaton,AFI,
Gene Kelly,AA,1951
Grace Kelly,AFI,
Deborah Kerr,AA,1994
Burt Lancaster,AFI,
Laurel and Hardy,AP,
Vivien Leigh,AFI,
Jack Lemmon,AFI,
Carole Lombard,AFI,
Sophia Loren,AFI,
Myrna Loy,AA,1991
Shirley MacLaine,AA,1998
Barton MacLane,,1998
Groucho Marx,AA,1947
Marx Brothers,AFI,
Robert Mitchum,AFI,
Marilyn Monroe,AFI,
Mickey Mouse,AP,
Paul Newman,AA,1986
Jack Nicholson,AP,
Laurence Olivier,AA,1979
Gregory Peck,AFI,
Michelle Pfeiffer,NYFCC,
Mary Pickford,AFI,
Sidney Poitier,AA,2002
Edward G. Robinson,AFI,
Jean Rogers,AFI,
Arnold Schwarzenegger,AP,
Barbara Stanwyck,AA,1982
James Stewart,AFI,
Meryl Streep,AP,
Barbra Streisand,,2000
Jessica Tandy,Emmy,1988
Elizabeth Taylor,AFI,
Shirley Temple,AFI,
Spencer Tracy,AFI,
John Wayne,AFI,
Orson Welles,AFI,
Mae West,AFI,
