stagename,dowstart,dowend,lname,fname,gender,dob,dod,roletype,origin
Willie Aames,,,Aames,William,M,1960,1984,unknown,Am
Bud Abbott,1939,1956,Abbott,William,M,1895,1974,straight comedian,Am
Diahnne Abbott,1976,1982, ,,F,,1992,sexy,Am
George Abbott,1928,1958,Abbott,George,M,1887,1984,playwright; producer,Am
John Abbott,1937,1975,Abbott,John,M,1905,1984,staring eyes; eccentric parts,Br
Philip Abbott,1957,1973,Abbott,Philip,M,1923,1984,second lead,Am
Kareem AbdulJabbar,,,,,M,,1992,basketball player,Am
Walter Abel,1935,1974,Abel,Walter,M,1898,1987,harrassed hero,Am
F.Murray Abraham,1983,,,,M,,1992,unknown,
James Abrahams,,,,,M,,1992,unknown,
Maury Abram,,,,,,,1992,unknown,
Victoria Abril,1985,1990,,,F,,1992,sexy,Pt
Joss Ackland,1949,1979,Ackland,Joss,M,1928,1984,larger-than-life personality,Br
Dan Ackroyd,1979,1990,Ackroyd,Dan,M,,1984,comic,Am
David Ackroyd,,,,,M,1940,1984,unknown,Am
Peter Ackroyd,,,,,M,,1992,unknown,
Rodolfo Acosta,1948,1967,Acosta,Rodolfo,M,1920,1974,cold-eyed,Am
Eddie Acuff,1935,1947,Acuff,Eddie,M,1902,1956,supporting comedian,Am
Jean Adair,1922,1947,Adair,Jean,F,1872,1956,sweet aunt,Am
Alfred Adam,1935,1961,Adam,Alfred,M,1909,1982,weak; villainous,Fr
Ronald Adam,1938,1971,Adam,Ronald,M,1896,1979,well-bred; stuffy professional,Br
John Adames,,,,,M,,1992,unknown,
Beverly Adams,1963,1967,Adams,Beverly,F,1945,1984,lead,Ca
Brooke Adams,1977,1983,Adams,Brooke,F,1949,1984,laid-back,Am
Catlin Adams,,,Barab,Catlin,,1950,1984,unknown,Am
Dorothy Adams,1938,1976,Adams,Dorothy,F,1915,1984,timorous sullen,Am
Edie Adams,1960,1979,Enke,Elizabeth Edith,F,1929,1984,pert comedienne,Am
Jane Adams,1945,1949,Adams,Jane,F,1921,1984,unknown,Am
Jill Adams,1954,1966,Adams,Julia,F,1931,1984,pert light lead,Br
Julie Adams,1947,1981,Adams,Betty May (Julia),F,1926,1984,soft,Am
Maud Adams,1952,1967,Wikstrom,Maude,F,1950,1984,lead,Sw
Nick Adams,1952,1967,Adamschock,Nicholas,M,1931,1968,neurotic aggressive lead,Am
Robert Adams,1935,1947,Adams,Robert,M,1906,1984,black,WI
Sam Adams,,,,,M,,1992,comic,
Tome Adams,1963,1975,Adams,Tome,M,1938,1984,burly,Br
Dawn Addams,1951,1977,Addams,Dawn,F,1930,1985,smart; glamorous,Br
Wesley Addy,1951,1982,Addy,Wesley,M,1912,1997,humourless; sinister,Am
Isabelle Adjani,1971,1983,Adjani,Isabelle,F,1955,1984,lead,Fr
Jay Adler,1938,1965,Adler,Jay,M,1899,1978,character,Am
Luther Adler,1937,1981,Adler,Lutha,M,1903,1984,heavy,Am
Renee Adoree,1920,1930,de la Font`e,Jeanne,F,1898,1933,exotic,Fr
Mario Adorf,1959,1981,Adorf,Mario,M,1930,1984,European films,Zw
Max Adrian,1934,1971,Bor,Max,M,1902,1973,high camp personality,Ir
Ben Affleck,1997,2000,Affleck,Ben,M,,,lead,Am
Casey Affleck,1996,1997,Affleck,Casey,M,,,lead,Am
John Agar,1948,1976,Agar,John,M,1921,1984,lead,Am
Rati Agnihotri,1985,,bn,fn,F,1960,1984,modern dancer,In
Jenny Agutter,1964,1981,Agutter,Jenny,F,1952,1984,lead,Br
Brian Aherne,1924,1967,Aherne,Brian,M,1902,1986,gentle lead,Br
Philip Ahn,1936,1975,Ahn,Philip,M,1911,1978,Asiatic,Am
Anouk Aimee,1947,1983,Dreyfus,Fran{c}coise Sorya,F,1932,1984,poised heartthrob,Fr
Richard Ainley,1936,1949,Ainley,Richard,M,1910,1967,unknown,Br
Maria Aitkins,1989,,,,F,,1992,unknown,
Franklyn Ajaye,1976,1978,,,M,1949,1984,unknown,Am
Muriel Aked,1922,1953,Aked,Muriel,F,1887,1955,comedy spinster; gossip,Br
Claude Akins,1953,1979,Akins,Claude,M,1918,1994,western villain; burly middle-aged hero,Am
Serap Aksoy,1991,,Aksoy,Serap,F,,1984,unknown,Tu
Josh Albee,1979,,,,M,,1992,unknown,
Anna Maria Alberghetti,1951,1960,Alberghetti,Anna Maria,F,1936,1984,singer,It
