title,rel_year,dir_name,prod_name,studio_name,prc,cat,award,location,movie_id
Always Tell Your Wife,1922,Hitchcock,Lasky,Famous,sbw,dram,,,H1
Number Thirteen,1922,,Hitchcock,Islington,sbw,,,,H2
Woman to Woman,1922,,Balcon,B-S-F,sbw,dram,,,H3
The Passionate Adventure,1924,,Balcon,Gainsborough,sbw,,,,H4
The Blackguard,1925,,Balcon,UFA,sbw,,,,H5
The Pleasure Garden,1925,,Balcon,Gainsborough and Emelka,sbw,dram,H,Pleasure Garden,H7
The Mountain Eagle,1926,,Balcon,Emelka,sbw,dram,H,,H8
The Lodger: A Story of The London Fog,1926,,Balcon,Gainsborough,sbw,susp,,London,H9
Downhill,1927,,Balcon,Islington; Gainsborough,sbw,susp,,,H10
Easy Virtue,1927,,Balcon,Gainsborough,sbw,susp,,,H11
The Ring,1927,,J.Maxwell,BIP Elstree,sbw,susp,,Albert Hall,H12
The Farmer's Wife,1928,,J.Maxwell,BIP Elstree,sbw,susp,,,H13
Champagne,1928,,J.Maxwell,BIP Elstree,sbw,romt,,,H14
Harmony Heaven,1929,,,BIP,col,susp,H,,H15
The Manxman,1929,,J.Maxwell,BIP Elstree,sbw,susp,H,,H16
Blackmail,1929,,J.Maxwell,BIP Elstree,bnw,susp,,British Museum,H17
Elstree Calling,1929,,,BIP Elstree,bnw,musc,,,H18
Juno And The Paycock,1930,,J.Maxwell,BIP Elstree,bnw,susp,H,Dublin,H19
Murder!,1930,,Alfred Abel,BIP Elstree,bnw,myst,H,,H20
The Skin Game,1931,,J.Maxwell,BIP Elstree,bnw,dram,,,H21
Rich and Strange,1932,,J.Maxwell,BIP Elstree,bnw,susp,,Marseille,H22
Number Seventeen,1932,,J.Maxwell,BIP Elstree,bnw,myst,H,Dover,H23
Lord Camber's Ladies,1932,,Hitchcock,BIP Elstree,bnw,susp,,,H24
Waltzes From Vienna,1933,,Tom Arnold,Lime Grove,bnw,comd,VIP,Vienna,H25
The Man Who Knew Too Much,1934,,Montagu,Gaumont Lime Grove,bnw,susp,H,London,H26
The 39 Steps,1935,,Montagu,Gaumont Lime Grove,bnw,susp,H,,H27
Secret Agent,1936,,Montagu,Gaumont Lime Grove,bnw,susp,,London,H28
Sabotage,1936,,Montague,Lime Grove,bnw,susp,H,,H29
Young and Innocent,1938,,Black,Lime Grove and Pinewood,bnw,susp,,,H30
The Lady Vanishes,1938,,Black,Lime Grove Gainsborough,bnw,susp,,,H31
Jamaica Inn,1939,,Laughton,Elstree,bnw,dram,W50,,H32
Rebecca,1940,Hitchcock,Selznick,Selznick,bnw,dram,H,Mandalay,H33
Foreign Correspondent,1940,,Wanger,U.A.,bnw,susp,AAN,London,H34
Mr. and Mrs. Smith,1941,,Eddington,RKO,bnw,romt,,NYC,H35
Suspicion,1941,,Hitchcock,RKO,cld,susp,,,H36
Saboteur,1942,,Skirball,Universal,bnw,susp,H,statue of liberty,H37
Shadow of a Doubt,1943,,Skirball,Universal,bnw,susp,VIP,San Rafael,H38
Lifeboat,1943,,MacGowan,Fox,bnw,susp,AAN,,H39
Spellbound,1945,,Selznick,Selznick,bnw,susp,AAN,,H42
Notorious,1946,,Hitchcock,RKO,bnw,susp,AFI,Rio de Janeiro,H43
The Paradine Case,1947,,Selznick,Selznick,bnw,susp,H,London,H44
Rope,1948,,Hitchcock,Transatlantic,tcol,susp,H,,H45
Under Capricorn,1949,,Hitchcock,MGM British,tcol,dram,,Sidney,H46
Stage Fright,1950,,Ahern,Elstree,,susp,,,H47
Strangers on a Train,1951,,Hitchcock,Warners,bnw,susp,AFI,NYC,H48
I Confess,1952,,Hitchcock,Warners,bnw,susp,,,H49
Dial M for Murder,1954,,Hitchcock,Warners,wcol,susp,H,London,H50
Rear Window,1954,,Hitchcock,Paramount,tcol,susp,AFI,,H51
To Catch a Thief,1955,,Hitchcock,Paramount,tcol,susp,,Riviera,H52
The Trouble with Harry,1956,,Hitchcock,Paramount,tcol,susp,,,H53
The Man Who Knew Too Much,1956,,Hitchcock,Paramount,tcol,susp,H,Albert Hall,H57
The Wrong Man,1957,,Hitchcock,Warners,bnw,docu,,,H61
Vertigo,1958,,Robert Coleman,Paramount,vst,susp,H,SanJuanBattista,H65
North by Northwest,1959,,Hitchcock,MGM,tcol,susp,AFI,,H69
Psycho,1960,,Hitchcock,Universal,bnw,susp,AFI,Tucson,H73
The Birds,1963,,Hitchcock,Universal,tcol,susp,AFI,Bodega Bay,H79
Marnie,1964,,Hitchcock,Universal,col,susp,,Philadelphia,H80
Torn Curtain,1966,,Hitchcock,Universal,tcol,susp,H,,H81
Topaz,1969,,Hitchcock,Universal,tcol,susp,H,Paris,H82
Frenzy,1972,,Hitchcock,Pinewood,tcol,susp,H,London,H83
Family Plot,1976,,Hitchcock,Universal,col,susp,,,H84
Aventure Malgache,1944,Hitchcock,Ministry of Inf.,Elstree,bnw,advt,,,H40
Bon Voyage,1944,,Ministry of Inf.,Elstree,bnw,advt,,,H41
Revenge,1955,Hitchcock,Hitchcock,Shamley,tv,susp,,,H54
Breakdown,1955,,Hitchcock,Shamley,tv,susp,,Atlantic City,H55
The Case of Mr. Pelham,1955,,Hitchcock,Shamley,tv,susp,,,H56
Back For Christmas,1956,,Hitchcock,Shamley,tv,susp,,,H58
Wet Saturday,1956,,Hitchcock,Shamley,tv,susp,,,H59
Mr. Blanchhard's Secret,1956,,Hitchcock,Shamley,tv,susp,,,H60
One More Mile To Go,1957,,Hitchcock,Shamley,tv,susp,,,H62
Four O'Clock,1957,,Hitchcock,Shamley,tv,susp,,,H63
The Perfect Crime,1957,,J.Harrison,Shamley,tv,susp,,,H64
Lamb To The Slaughter,1958,,Hitchcock,Shamley,tv,susp,,,H66
A Dip In The Pool,1958,,J.Harrison,Shamley,tv,susp,,,H67
Poison,1958,,J.Harrison,Shamley,tv,susp,,,H68
Banquo's Chair,1959,,J.Harrison,Shamley,tv,susp,,,H70
Arthur,1959,,J.Harrison,Shamley,tv,susp,,,H71
The Crystal Trench,1959,,J.Harrison,Shamley,tv,susp,,,H72
Incident at a Corner,1960,,J.Harrison,Shamley,tv,susp,,,H74
Mrs. Bixby and The Colonel's Coat,1960,,J.Harrison,Shamley,tv,susp,,,H75
The Horseplayer,1961,,J.Harrison,Shamley,tv,susp,,,H76
Bang! You're Dead,1961,,J.Harrison,Shamley,tv,susp,,,H77
I Saw The Whole Thing,1962,,J.Harrison,Shamley,tv,susp,,,H78
The Edison Kinetopic Record of A Sneeze,1893,Dickson,Thomas A. Edison>,Edison,sbw,docu,,,WKD10
Terrible Teddy; the Grizzly King,1901,,Thomas A. Edison,Edison,sbw,comd,,,WKD50
La Premiere Seance du Salon Indien au Grand Cafe,1895,A.Lumiere,A.Lumiere,Lumiere,sbw,,,Paris,ALu1
La Sortie des Usines Lumiere,1895,,,Lumiere,sbw,docu,,Lyon,ALu2
Arrivee d'un train en Gare de la Ciatat,1895,,,Lumiere,sbw,docu,,Ciatat,ALu3
Le Gouter de Bebe,1895,,,Lumiere,,,,,ALu4
L'Arroseur arrosse,1895,,,Lumiere,,comd,,,ALu5
Barque Quittant le Port,1895,,,Lumiere,,docu,,,ALu6
Boules,1895,,,Lumiere,,,,,ALu7
L'assissinatat du Duc de Guise,1908,,,Lumiere,,actn,,castle,ALu30
Jack and the Beanstalk,1902,E.S.Porter,,Edison,sbw,comd,,,ESP9
Uncle Tom's Cabin,1902,,,Edison,sbw,comd,,,ESP10
Life of an American Fireman,1903,,,Edison,sbw,west,,,ESP11
The Great Train Robbery,1903,,,Edison,sbw,west,H,,ESP12
The Little Train Robbery,1905,,,Edison,sbw,,,,ESP16
The Kleptomaniac,1905,,,Edison,sbw,,,,ESP17
The Count of Monte Christo,1912,,Zukor,Famous,sbw,dram,,,ESP25
The Prisoner of Zenda,1912,,Zukor,Famous,sbw,dram,,,ESP26
His Neighbor's Wife,1912,,Zukor,Famous,sbw,dram,,,ESP27
Tess of the d'Ubervilles,1912,,Zukor,Famous,sbw,dram,,,ESP28
An American Citizen,1913,,Zukor,Famous,sbw,,,,ESP30
A Good Little Devil,1913,,Zukor,Famous,sbw,,,,ESP31
In The Bishop's Carriage,1913,,Zukor,Famous,sbw,,,,ESP32
Caprice,1913,,Zukor,Famous,sbw,,,,ESP33
Hearts Adrift,1913,,Zukor,Famous,sbw,,,,ESP34
Tess of The Storm Country,1914,,Zukor,Famous,sbw,dram,,,ESP40
L'Escamontage d'une Dame,1896,Melies,,,sbw,,,,GMs1
L'Homme orchestre,1900,,,,sbw,,,,GMs2
Cinderella,1900,,,,,fant ,,,GMs4
Le voyage dans la lune,1902,,,,sbw,cart,,,GMs6
Danseuse Microscopique,1902,,,,sbw,s.f.,,,GMs8
An Impossible Voyage,1904,,,,sbw,,,,GMs12
L'Homme a la Tete en Caoutchouc,1906,,,,sbw,fant,,,GMs20
The Downward Path,1900,A.Marvin,,Biograph,sbw,dram,,,AMv10
Hamlet,1900,Unknown0,,,,,,,Z0001
Romea and Juliet,1900,,,,,,,,Z0002
King Lear,1905,,,,,,,,Z0003
Julius Cesar,1907,,,,,,,,Z0004
Othello,1907,,,,,,,,Z0005
Macbeth,1908,,,,,,,,Z0006
Richard III,1908,,,,,,,,Z0007
The Magic Sword or A Medieval Mystery,1891,Booth,,,sbw,fant,,,WRB10
La Passion,1902,Pathe,Pathe,Pathe,,,,,CPa1
Les Miserables,1909,,,,sbw,dram,,Paris,CPa50
The Maniac's Guillotine,1902,Haggar,Haggar,,sbw,horr,,,WHa1
The Life of Charles Pierce,1905,,Haggar,,sbw,biop,,,WHa8
Kit Carson,1903,McCutcheon,,Biograph,sbw,advt,,,WMc10
Parsifal,1904,Edison,Edison,Edison,sbw,biop,,,ThE10
The Wagon Trails,1906,Cruze,,,col,advt,,,JaC1
Too Many Millions,1918,,,,,,,,JaC7
The Covered Wagon,1923,,,,,west,,,JaC10
Hollywood,1918,,,,,,,,JaC12
Ruggles of Red Gap,1918,,,,,west,,,JaC15
Beggars on Horseback,1925,,,,,west,,,JaC20
Pony Express,1925,,,,,west,,,JaC23
Old Ironsides,1926,,,,sbw,advt,,Atlantic coast,JaC25
The Great Gabbo,1929,,,,bnw,musc,,,JaC28
Washington Merry Go Round,1932,,,,,,,,JaC33
I Cover the Waterfront,1933,,,,,,,,JaC35
Sutter's Gold,1936,,,,,,,,JaC40
The Dead Man's Claim,1912,Spoor,Spoor,Essanay,sbw,west,,,GKS60
The Last Days of Pompeii,1908,Maggi,,,sbw,hist,,Pompeii,LMi1
Nero and the Burning of Rome,1909,,Arturo Ambrosio,Ambrosio,sbw,hist,,Rome,LMi5
Autumn Sunset Dream,1911,,,Ambrosio,sbw,dram,,,LMi23
The Ship with the Lions,1912,,,Ambrosio,sbw,dram,,,LMi25
The Lion of Venice,1914,,,Ambrosio,sbw,dram,,Venice,LMi35
At the French Ball,1908,Griffith,,,,,,,DWG02
Calamitous Elopement,1908,,,,,,,,DWG03
The Adventures of Dolly,1908,,,,,,,,DWG1
For the Love of Gold,1908,,,,,,,,DWG3
The Call of the Wild,1908,,,,,,,,DWG5
Lines of White on a Sullen Sea,1908,,,,,,,,DWG6
The Sealed Room,1909,,,,,dram,,,DWG7
A Corner in Wheat,1909,,,,sbw,dram,,,DWG8
The Lonely Villa,1909,,,,,dram,,,DWG9
The Life of Edgar Allen Poe,1909,,,,,biop,,,DWG10
The Curtain Pole,1909,,,,,comd,,,DWG11
Song of the Wildwood Flute,1910,,,,sbw,west,,,DWG15
Love Among the Roses,1910,,,,,,,,DWG16
The Lonedale Operator,1911,,,,,,,,DWG25
Paradise Lost,1911,,,,,,,,DWG26
Enoch Arden,1911,,,,,dram,,,DWG27
The Cowboy Doctor,1911,,,,,,,,DWG29
Man's Genesis,1912,,,,,,,,DWG33
The Musketeers of Pig Alley,1912,,,,,,,,DWG35
The Raven,1912,,,,,biop,,,DWG40
The New York Hat,1912,,,,,,,NYC,DWG47
The Battle at Elderbush Gulch,1913,,,Biograph,sbw,west,,,DWG49
Judith of Bethulia,1913,,,Biograph,sbw,dram,,,DWG50
The Clansman,1915,,,D.W.Griffith,bnw,epic,CC,,DWG51
Intolerance,1916,,Griffith,,sbw,dram,H,,DWG52
Hearts of the World,1918,,,,,,,,DWG53
The Greatest Question,1919,,,,sbw,dram,,,DWG55
Broken Blossoms,1919,,Griffith,U.A.,sbw,dram,H,,DWG57
True Heart Susie,1919,,,,sbw,romt,,,DWG58
Way Down East,1920,,Griffith,Griffith,col,dram,H,,DWG64
One Exciting Night,1922,,,,,,,,DWG66
Orphans of the Storm,1922,,,U.A.,sbw,epic,H,Paris,DWG67
America,1924,,Griffith,U.A.,bnw,dram,H,,DWG71
Isn't life Wonderful,1924,,,Griffith,sbw,docu,,,DWG72
Screen Snapshots,1926,,,,,,,,DWG75
Abraham Lincoln,1930,,Joseph Schenck,U.A.,,biop,W50,Washington,DWG80
Romeo and Juliet,1908,Unknown2,,,sbw,romt,,,Z0210
