pname,pcodes/pcode/0,did,yearstart,yeardirstart,yearend,familynm,givennm,dob,dod,background/0,notes/0/ref/0,pcodes/pcode/1,pcodes/pcode/2,rels/0/workedwith/0/colleague/0/name/0,notes/0,notes/0/type/0,notes/0/mainly,pcodes/pcode/3,notes/0/ref/1,notes/0/ref/2,notes/1,error,background/0/bgnote,background/0/__text,rels/0/marriedto/spouse/0/name/0,rels/0/workedwith/0/colleague/0/co-is/0,rels/0/workedwith/0/colleague/0/on,GeF,notes/0/textmore,rels/0/studios/studio/0,pcodes/also/0,notes/0/also/0,pcodes,rels/0/influencedby/0/mentor/0/name/0,rels/0/influencedby/0/mentor/0/co-is/0,rels/0/influencedby/0/mentor/0/in-is,rels/0/founder/0,Gdf,rels/0/marriedto/spouse/0/sp-is/0,rels/0/childof/parentis/0/name/0,rels/0/founder/1,rels/0/studios/studio/1,rels/0/studios/studio/2,rels/0/studios/studio/3,rels/0/studios/studio/4,rels/0/parent/child-is/0/name/0,rels/0/workedwith/0/colleague/0/name/1,rels/0/family/fm/name/0,rels/0/family/fm/fmtype,rels/0/family/fm/fmrel,alias/0,background/1,rels/0/marriedto/spouse/1/name/0,rels/0/siblings/sibling/name/0,rels/0,notes/0/fact,rels/0/influenced/affected/0/name/0,rels/0/influenced/affected/0/co-is/0,rels/0/influenced/affected/0/af-is/0,rels/0/livedwith/lover/0/name/0,rels/0/siblings/sibling/saf-is/0,rels/0/siblings/sibling/saf-is/1,rels/0/marriedto/sp-is/0,rels/0/childof/parentis/0/pa-is,rels/0/marriedto/spouse/0,rels/0/marriedto/spouse/2,notes/0/livedwith/lover/0/name/0,rels/0/parent/child-is/0/ch-is,rels/0/workedwith/0/colleague/0/name/2,rels/0/marriedto/spouse/1/sp-is/0,alias/1,rels/0/marriedto/spouse/1,rels/0/studios/studio/5,rels/0/studios/studio/6,notes/0/livedwith/lover/0/lv-is/0,notes/0/livedwith/lover/0/lv-is/1,rels/0/parent/child-is/0/name/1,rels/0/relnote,rels/0/parent/child-is/0/chnote,rels/0/childof/parentis/1/name/0,rels/0/childof/parentis/1/pa-is,rels/0/marriedto/spouse/0/sp-is/1,pcodes/pcode/4,awards/aw/0/awtype,awards/aw/0/awdet,awards/aw/0/awyear,awards/aw/1/awtype,awards/aw/1/awf,rels/0/parent/child-is/1/name/0,rels/0/parent/child-is/1/ch-is,notes/0/GeF,rels/1/workedwith/0/colleague/0/name/0,notes/0/awards/aw/0/awtype,notes/0/alias/0,awards/aw/0/awnote,rels/0/influenced/__text,notes/0/type/1,awards/aw/0/awf,rels/0/workedwith/0/colleague/0/name/3,rels/0/workedwith/0/colleague/0/name/4,rels/0/studios/studio/0/styear,rels/0/studios/studio/0/__text,rels/0/studios/studio/1/styear,rels/0/studios/studio/1/__text,rels/0/studios/studio/2/styear,rels/0/studios/studio/2/__text,rels/0/workedwith/0/colleague/0/co-is/1,rels/0/workedwith/0/colleague/0/during,rels/0/family/fmtype,rels/0/family/fmrel,rels/0/workedwith/1/colleague/0/name/0,rels/0/livedwith/lover/0/name/1,rels/0/marriedto/spouse/3/name/0,rels/0/marriedto/spouse/4,rels/0/influenced/affected/0/name/1,rels/0/influenced/affected/0/af-is/1,rels/0/influenced/affected/0/colleague/0,rels/0/livedwith/lover/0/lv-is/0,rels/0/marriedto/spouse/0/name/1,notes/0/also/1,rels/0/parent/child-is/0,rels/0/influencedby/0/mentor/1/name/0,rels/0/influencedby/0/mentor/1/in-is,rels/0/founder/0/fnyear,rels/0/founder/0/__text,rels/0/founder/1/fnyear,rels/0/founder/1/__text,rels/1/studios/studio/0,rels/1/studios/studio/1,notes/0/child,notes/1/ref/0,notes/1/ref/1,rels/0/influenced/affected/1/name/0,rels/0/influenced/affected/1/af-is/0,rels/0/influenced/affected/2/name/0,rels/0/influenced/affected/2/af-is/0,rels/0/influenced/affected/3/name/0,rels/0/influenced/affected/3/af-is/0,rels/0/influenced/affected/4/name/0,rels/0/influenced/affected/4/af-is/0,rels/0/influenced/affected/5/name/0,rels/0/influenced/affected/5/af-is/0,rels/0/influenced/affected/6/name/0,rels/0/influenced/affected/6/af-is/0,rels/0/influenced/affected/7/name/0,rels/0/influenced/affected/7/af-is/0,rels/0/workedwith/0/colleague/1/name/0,rels/0/workedwith/0/colleague/1/co-is/0,rels/0/workedwith/0/colleague/2/name/0,rels/0/workedwith/0/colleague/2/co-is/0,rels/1/parent/child-is/0/name/0,rels/1/parent/child-is/0/ch-is,awards/aw/1,awards/awyear,rels/0/siblings/sibling/name/0/sibtype,rels/0/siblings/sibling/name/0/__text,rels/0/childof/parentis/0/name/0/pa-is,rels/0/childof/parentis/0/name/0/__text,rels/0/studios/studio/0/strole,rels/0/marriedto/spouse/2/name/0,rels/0/marriedto/spouse/3,awards/aw/1/awdet,awards/aw/1/awyear,rels/0/marriedto/spouse/2/sp-is/0,rels/0/marriedto/spouse/3/sp-is/0,rels/0/marriedto/spouse/4/name/0,rels/0/family/fm/me-is,rels/0/workedwith/0/colleague/3/name/0,rels/0/workedwith/0/colleague/3/co-is/0,rels/0/workedwith/0/colleague/4/name/0,rels/0/workedwith/0/colleague/4/co-is/0,rels/0/workedwith/0/co-is/0,rels/1/marriedto/spouse/0/name/0,rels/1/marriedto/spouse/1,rels/1/marriedto/spouse/2,pcodes/pcode/5,notes/0/href/A/_HREF,notes/0/href/A/__text,notes/0/livedwith/lover/0,notes/0/livedwith/lover/1/name/0,awards/aw/0/awardnote,rels/0/marriedto/spouse/4/sp-is/0,rels/0/influencedby/1/mentor/0/name/0,rels/0/influencedby/1/mentor/0/co-is/0,rels/0/influencedby/1/mentor/0/in-is,rels/0/siblings/sibling/name/0/parent/child-is/0/name/0
Aaron,D,PAa,,1979,,Aaron,Paul,,\Un,\Am,![1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abel,D,JeA,,1971,,Abel,Jeanne,,\Un,\Am,,P,W,Alan Abel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Abel,D,RAe,,1960,,Abel,Robert,1937,2001,\Am,,,,,,Docu,Advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbott,A,GgA,,1929,1958,Abbott,George,1887,\Un,\Am,,W,D,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham,W,AAh,,1999,,Abraham,Adam,,\Un,\Am,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrahams,W,xAb,,1948,,Abrahams,,,\Un,\Am,![1],D,,,,,,,![4],![16],,(fn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Abrahams,W,JiA,,1980,1988,Abrahams,Jim,,\Un,\Am,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey~Abrams,W,,1991,,1992,Abrams,Jeffrey,1967,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abramson,D,NAb,,1998,,Abramson,Neil,,\Un,\Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abduladze,D,TAb,,1977,,Abduladze,Tengiz,,\Un,,,,,,,,,,,,,,Georgian,\Ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abramson,D,NAb,,1998,,Abramson,Nel,,\Un,\Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ackerman,D,RAA,,1994,,Ackerman,Robert Allan,19xx,\Un,\Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acub,D,NAA,,1957,,Acub,Nya' Abbas,,\Un,\II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
