,dir_name,prod_name,studio_name,title,year,prc,cat,awattr,awtype,location
0,Hitchcock,,,Jamaica Inn,1939,,,***,W50,
1,Hitchcock,,,Family Plot,1976,,,*,H,
2,Hitchcock,,,Bon Voyage,1944,,,*,H,
3,Hitchcock,,,I Saw The Whole Thing,1962,,,*,H,
4,Dickson,,,"Terrible Teddy, the Grizzly King",1901,,,*,H,
5,A.Lumiere,,,L'assissinatat du Duc de Guise,1908,,,*,H,
6,E.S.Porter,,,Tess of The Storm Country,1914,,,***,H,
7,Melies,,,L'Homme a la Tete en Caoutchouc,1906,,,***,H,
8,A.Marvin,,,The Downward Path,1900,,,***,H,
9,Unknown0,,,Richard III,1908,,,***,H,
10,Booth,,,The Magic Sword or A Medieval Mystery,1891,,,***,H,
11,Pathe,,,Les Mis\'erables,1909,,,***,H,
12,Haggar,,,The Life of Charles Pierce,1905,,,***,H,
13,McCutcheon,,,Kit Carson,1903,,,***,H,
14,Edison,,,Parsifal,1904,,,***,H,
15,Cruze,,,Sutter's Gold,1936,,,***,H,
16,Spoor,,,The Dead Man's Claim,1912,,,***,H,
17,Maggi,,,The Lion of Venice,1914,,,***,H,
18,Griffith,,,Abraham Lincoln,1930,,,**,W50,
19,Unknown2,,,Romeo and Juliet,1916,,,**,W50,
20,Cohl,,,Le Binetoscope,1909,,,**,W50,
21,deLiguoro,,,"Marin Valiero, Doge of Venice",1909,,,**,W50,
22,Caserini,,,Love Everlasting,1913,,,**,W50,
23,Mackay,,,Gertie the Dino,1909,,,**,W50,
24,F.Powell,,,All on Account of Milk,1910,,,**,W50,
25,loSavio,,,The Merchant of Venice,1910,,,**,W50,
26,Blackton,,,Life of Moses,1910,,,**,W50,
27,Bentley,,,Lucky to Me,1939,,,**,W50,
28,Falena,,,Francesca di Rimini,1911,,,**,W50,
29,Padovan,,,Homer's Odyssey,1911,,,**,W50,
30,Blom,,,The Vampire Dancer,1911,,,**,W50,
31,Perret,,,L'Enfant de Paris,1913,,,**,W50,
32,Mentasti,,,Clios and Phyletes,1911,,,**,W50,
33,Th.Ince,,,Custer's Last Fight,1925,,,v,H,
34,Gad,,,The Aviator's Generosity,1911,,,v,H,
35,Humphrey,,,A Tale of Two Cities,1911,,,v,H,
36,Dwan,,,Slightly Scarlet,1956,,,0,H,
37,A.E.Green,,,The Eddie Cantor Story,1953,,,0,H,
38,Conway,,,The Hucksters,1947,,,**,AAN,
39,Durand,,,Comedy of the absurd,1912,,,**,AAN,
