,dir_name,prod_name,studio_name,title,year,prc,cat,awattr,awtype,location
0,Hitchcock,Laughton,Elstree,Jamaica Inn,1939,bnw,Dram,***,W50,London city work theater train resort
1,Hitchcock,Hitchcock,Universal,Family Plot,1976,col,Susp,*,H,London city church
2,Hitchcock,Ministry of Inf.,Elstree,Bon Voyage,1944,bnw,Advt,*,H,London city church
3,Hitchcock,J.Harrison,Shamley,I Saw The Whole Thing,1962,TV,Susp,*,H,Atlantic City resort home csd estate ship csd mountains hospital public town
4,Dickson,Thomas A. Edison,Edison,"Terrible Teddy, the Grizzly King",1901,bws,Comd,*,H,Atlantic City resort home csd estate ship csd mountains hospital public town
5,A.Lumiere,A.Lumiere,Lumiere,L'assissinatat du Duc de Guise,1908,sbw,Actn,*,H,castle palace
6,E.S.Porter,Zukor,Famous,Tess of The Storm Country,1914,bws,Dram,***,H,castle palace train train
7,Melies,Zukor,Famous,L'Homme a la Tete en Caoutchouc,1906,bws,Fant,***,H,castle palace train train bar school space theater
8,A.Marvin,Zukor,Biograph,The Downward Path,1900,sbw,Dram,***,H,castle palace train train bar school space theater
9,Unknown0,Zukor,Biograph,Richard III,1908,sbw,Dram,***,H,castle palace train train bar school space theater
10,Booth,Zukor,Biograph,The Magic Sword or A Medieval Mystery,1891,sbw,Fant,***,H,castle palace train train bar school space theater
11,Pathe,Pathe,Pathe,Les Mis\'erables,1909,sbw,Dram,***,H,Paris city
12,Haggar,Haggar,Pathe,The Life of Charles Pierce,1905,bws,BioP,***,H,Paris city
13,McCutcheon,Haggar,Biograph,Kit Carson,1903,bws,Advt,***,H,Paris city
14,Edison,Edison,Edison,Parsifal,1904,bws,BioP,***,H,Paris city theater
15,Cruze,Edison,Edison,Sutter's Gold,1936,bnw,Musc,***,H,Atlantic coast sea theater
16,Spoor,Spoor,Essanay,The Dead Man's Claim,1912,bws,West,***,H,Atlantic coast sea theater
17,Maggi,Arturo Ambrosio,Ambrosio,The Lion of Venice,1914,bws,Dram,***,H,Venice city
18,Griffith,Joseph Schenck,U.A.,Abraham Lincoln,1930,sbw,BioP,**,W50,Washington town city
19,Unknown2,Joseph Schenck,U.A.,Romeo and Juliet,1916,bws,Romt,**,W50,Washington town city
