dir_id,dir_lname,movie_id,movie_title,actor_name,role_name,award
AA,Asquith,AA13,Pygmalion,Leslie Howard,Higgins,AAN
,,AA13,Pygmalion,Wendy Hiller,Eliza,AAN
,,AA13,Pygmalion,Wilfrid Lawson,Dolittle,
,,AA13,Pygmalion,Scott Sunderland,Pickering,
,,AA13,Pygmalion,Marie Lohr,Mrs.Higgins,
,,AA13,Pygmalion,Iris Hoey,,
,,AA13,Pygmalion,David Tree,Freddie Eynsford-Hill,
,,AA13,Pygmalion,Esme Percy,,
,,AA13,Pygmalion,Everley Gregg,,
,,AA13,Pygmalion,O.B. Clarence,,
,,AA13,Pygmalion,Jean Cadell,,
,,AA14,French Without Tears,Ray Milland,,
,,AA14,French Without Tears,Ellen Drew,,
,,AA14,French Without Tears,Guy Middleton,,
,,AA14,French Without Tears,Ronald Culver,,
,,AA16,Quiet Wedding,Margaret Lockwood,,
,,AA16,Quiet Wedding,Derek Farr,,
,,AA16,Quiet Wedding,A.E. Matthews,,
,,AA16,Quiet Wedding,Marjorie Fielding,,
,,AA16,Quiet Wedding,Athene Seyler,,
,,AA16,Quiet Wedding,Peggy Ashcroft,,
,,AA16,Quiet Wedding,Margaretta Scott,,
,,AA16,Quiet Wedding,Bernard Miles,,
,,AA29,The Importance of Being Earnest,Michael Redgrave,Earnest,
,,AA29,The Importance of Being Earnest,Michael Denison,,
,,AA29,The Importance of Being Earnest,Edith Evans,,
,,AA29,The Importance of Being Earnest,Margaret Rurtherford,,
,,AA29,The Importance of Being Earnest,Joan Greenwood,,
,,AA29,The Importance of Being Earnest,Miles Malleson,,
,,AA29,The Importance of Being Earnest,Doroty Tutin,,
,,AA29,The Importance of Being Earnest,Walter Hudd,,
,,AA37,Libel,Dirk Bogarde,,
,,AA37,Libel,Olivia deHavilland,,
,,AA37,Libel,Paul Massie,,
,,AA37,Libel,Wilfrid Hyde White,,
,,AA37,Libel,Robert Morley,,
,,AA37,Libel,Anthony Dawson,,
,,AA37,Libel,Richard Wattis,,
,,AA37,Libel,Martin Miller,,
,,AA37,Libel,Millicent Martin,,
,,AA38,The Millionairess,Peter Sellers,,
,,AA38,The Millionairess,Sophia Loren,,
,,AA38,The Millionairess,Alastair Sim,,
,,AA38,The Millionairess,Vittorio deSics,,
,,AA38,The Millionairess,Dennis Price,,
,,AA38,The Millionairess,Gary Raymond,,
,,AA38,The Millionairess,Alfie Bass,,
,,AA41,The VIPs,Richard Burton,,
,,AA41,The VIPs,Elizabeth Taylor,,
,,AA41,The VIPs,Maggie Smith,,
,,AA41,The VIPs,Rod Taylor,,
,,AA41,The VIPs,Margaret Rutherford,,AA
,,AA41,The VIPs,Louis Jordon,,
,,AA41,The VIPs,Elsa Martinelli,,
,,AA41,The VIPs,Orson Welles,,
,,AA41,The VIPs,Linda Chistian,,
,,AA41,The VIPs,Dennis Price,,
,,AA41,The VIPs,Richard Wattis,,
,,AA41,The VIPs,David Frost,,
,,AA41,The VIPs,Robert Coote,,
,,AA41,The VIPs,Joan Benham,,
,,AA41,The VIPs,Michael Hodern,,
,,AA41,The VIPs,Lance Percival,,
,,AA41,The VIPs,Martin Miller,,
AaB,A.Bennett,AaB10,A Private Function,Michael Palin,,
,,AaB10,A Private Function,Maggie Smith,,BFA
,,AaB10,A Private Function,Denholm Elliott,,BFA
,,AaB10,A Private Function,Richard Griffiths,,
,,AaB10,A Private Function,Tony Haygarth,,
,,AaB10,A Private Function,Liz Smith,,BFA
,,AaB10,A Private Function,John Normington,,
,,AaB10,A Private Function,,,
AAd,Adams,AAd10,Shrek,,Shrek,
,,AAd10,Shrek,Eddie Murphy,,
,,AAd10,Shrek,Cameron Diaz,Leila,
,,AAd10,Shrek,,,
,,AAd10,Shrek,,,
,,AAd10,Shrek,Vicki Jenson,,
,,AAd10,Shrek,Kathleen Freeman,,
AAh,Abraham,AAh10,Man of the Century,Gibson Frazier,Johnny Twennies,
AAl,Alda,AAl6,The Four Seasons,Alan Alda,,
,,AAl6,The Four Seasons,Carol Burnett,,
,,AAl6,The Four Seasons,Len Cariou,,
,,AAl6,The Four Seasons,Sandy Dennis,,
,,AAl6,The Four Seasons,Rita Moreno,,
,,AAl6,The Four Seasons,Jack Weston,,
,,AAl6,The Four Seasons,Bess Armstrong,,
,,AAl10,Sweet Liberty,Alan Alda,,
,,AAl10,Sweet Liberty,Michael Caine,,
,,AAl10,Sweet Liberty,Michelle Pfeiffer,,
,,AAl10,Sweet Liberty,Bob Hoskins,,
,,AAl10,Sweet Liberty,Lise Hilboldt,,
,,AAl10,Sweet Liberty,Lillian Gish,,
,,AAl10,Sweet Liberty,Saul Rubinek,,
,,AAl10,Sweet Liberty,Lois Chiles,,
,,AAl20,Betsy's Wedding,Molly Ringwald,Betsy,
,,AAl20,Betsy's Wedding,Alan Alda,,
,,AAl20,Betsy's Wedding,Joey Bishop,,
,,AAl20,Betsy's Wedding,Madeleine Kahn,,
,,AAl20,Betsy's Wedding,Ally Sheedy,Connie,
,,AAl20,Betsy's Wedding,Anthony LaPaglia,,
,,AAl20,Betsy's Wedding,Julie Bovassa,,
,,AAl20,Betsy's Wedding,Joe Pesci,,
,,AAl20,Betsy's Wedding,Catherine OHara,,
,,AAl20,Betsy's Wedding,Dylan Walsh,,
,,AAl20,Betsy's Wedding,Burt Young,,
AAn,Anders,AAn10,Gas Food Lodging,Brooke Adams,,
,,AAn10,Gas Food Lodging,Ione Skye,,
,,AAn10,Gas Food Lodging,Faraizu Baik,,
,,AAn10,Gas Food Lodging,Donovan Leitch,,
,,AAn12,Mi Vida Loca,Angel Avilea,,
,,AAn12,Mi Vida Loca,Seidy Lopez,,
,,AAn12,Mi Vida Loca,Jacob Vargas,,
,,AAn14,Four Rooms,Tim Roth,Ted,
,,AAn14,Four Rooms,Sammi Davis,Jezebel,
,,AAn14,Four Rooms,Amanda deCadenet,,
,,AAn14,Four Rooms,Madonna,Elspeth,
,,AAn14,Four Rooms,Lili Taylor,,
,,AAn14,Four Rooms,Davis Proval,,
,,AAn14,Four Rooms,Jennifer Beals,,
,,AAn14,Four Rooms,Antonio Banderas,,
,,AAn14,Four Rooms,Tamlyn Tomita,,
,,AAn14,Four Rooms,Danny Verduzo,,
,,AAn14,Four Rooms,Lana McKissack,,
,,AAn14,Four Rooms,Patricia Vonne Rodriguez,,
,,AAn14,Four Rooms,Quentin Tarantino,,
,,AAn14,Four Rooms,Bruce Willis,,
,,AAn14,Four Rooms,Alicia Witt,,
AAr,Arkush,AAr10,Rock 'N Roll High School,P.J. Sales,,
,,AAr10,Rock 'N Roll High School,Vincent VanPatten,,
,,AAr10,Rock 'N Roll High School,Clint Howard,,
,,AAr10,Rock 'N Roll High School,The Ramones,,
,,AAr10,Rock 'N Roll High School,Paul Bartel,,
,,AAr10,Rock 'N Roll High School,Mary Woronov,,
,,AAr10,Rock 'N Roll High School,Alix Elias,,
,,AAr20,Heartbeeps,Andy Kaufman,,
,,AAr20,Heartbeeps,Bernadette Peters,,
,,AAr20,Heartbeeps,Randy Quaid,,
,,AAr20,Heartbeeps,Melanie Mayron,,
AAS,A.Seidelman,AAS10,Trapped in Space,Jack Wayne,Mac,
,,AAS10,Trapped in Space,Jack Coleman,Grant,
,,AAS10,Trapped in Space,Craig Wasson,Palmer,
,,AAS10,Trapped in Space,Kay Lenz,Gillian,
,,AAS10,Trapped in Space,Sigrid Thornton,Isaacs,
,,AAS10,Trapped in Space,Kevin Colsonn,Howard,
AAt,Aristarain,AAt10,A Place in the World,Gaston Batyi,,
,,AAt10,A Place in the World,Jose Sacristan,,
,,AAt10,A Place in the World,Frederico Luppi,,
,,AAt10,A Place in the World,Cecilia Roth,,
,,AAt10,A Place in the World,Leonor Benedetto,,
AB,A.Bragaglia,AB2,Thais,Thais Galizky,,
AbA,deAntoni,AbA10,Il processo Clemenceau,Francesca Bertini,,
,,AbA10,Il processo Clemenceau,Gustavo Serena,,
,,AbA10,Il processo Clemenceau,Alfredo DeAntoni,,
,,AbA10,Il processo Clemenceau,Lido Manetti,,
,,AbA10,Il processo Clemenceau,Nella Montagna,,
,,AbA10,Il processo Clemenceau,Vittorio DeSica,,
ABd,Band,ABd4,I Bury the Living,Richard Boone,,
,,ABd4,I Bury the Living,Theodore Bikel,,
ABe,Berliner,ABe10,Ma Vie En Rose,Georges duFresne,,
AbF,Ferrara,AbF10,Ms.~45,Zoe Tamerlis,,
,,AbF10,Ms.~45,Steve Singer,,
,,AbF10,Ms.~45,Jack Thibeau,,
,,AbF10,Ms.~45,Peter Yellen,,
,,AbF20,King of New York,Christopher Walken,,
,,AbF25,Bad Luitenant,Harvey Keitel,,
,,AbF25,Bad Luitenant,Zoe Lund,,
,,AbF25,Bad Luitenant,Frankie Thorn,,
,,AbF26,Dangerous Game,Madonna,,
,,AbF26,Dangerous Game,Harvey Keitel,,
,,AbF26,Dangerous Game,James Russo,,
,,AbF27,Body Snatchers,Gabrielle Anwar,Marti Malone,
,,AbF27,Body Snatchers,Terry Kinney,,
,,AbF27,Body Snatchers,Meg Tilly,,
,,AbF27,Body Snatchers,Reilly Murphy,,
AbH,Alb.Hughes,AbH1,Menace II Society,,,
,,AbH1,Menace II Society,,,
,,AbH1,Menace II Society,,,
ABi,Birkin,ABi10,Burning Secret,Faye Dunaway,,
,,ABi10,Burning Secret,Klaus Maria Brandauer,,
