dir_id,movie_id
AA,AA13
AA,AA14
AA,AA16
AA,AA29
AA,AA37
AA,AA38
AA,AA41
AaB,AaB10
AAd,AAd10
AAh,AAh10
AAl,AAl6
AAl,AAl10
AAl,AAl20
AAn,AAn10
AAn,AAn12
AAn,AAn14
AAr,AAr10
AAr,AAr20
AAS,AAS10
AAt,AAt10
AB,AB2
AbA,AbA10
ABd,ABd4
ABe,ABe10
AbF,AbF10
AbF,AbF20
AbF,AbF25
AbF,AbF26
AbF,AbF27
AbH,AbH1
ABi,ABi10
ABi,ABi20
AbK,AbK15
ABl,ABl10
ABn,ABn1
ABo,ABo10
AbP,AbP10
AbP,AbP50
ABr,ABr1
ABr,ABr2
ABr,ABr3
ABr,ABr4
ABr,ABr7
ABr,ABr9
ABu,ABu10
ABW,ABW40
ABz,ABz10
AC,AC5
AC,AC6
AC,AC7
AC,AC8
AC,AC9
AC,AC20
ACa,ACa40
ACa,ACa50
ACa,ACa60
ACf,ACf10
AcG,AcG10
ACj,ACj110
ACj,ACj111
ACj,ACj112
ACj,ACj113
ACj,ACj114
ACj,ACj115
ACj,ACj116
ACj,ACj117
ACj,ACj118
ACj,ACj119
ACj,ACj120
ACj,ACj121
ACj,ACj122
ACj,ACj123
ACj,ACj124
ACj,ACj125
ACj,ACj126
ACj,ACj127
ACj,ACj128
ACl,ACl10
ACt,ACt10
ACu,ACu15
ACu,ACu20
ACu,ACu23
ACu,ACu27
ACv,ACv10
ACx,ACx10
ACx,ACx12
ACy,ACy10
ACy,ACy14
ACy,ACy20
ACy,ACy38
AD,AD40
ADA,ADA10
AdB,AdB21
ADg,ADg10
AdI,AdI15
AdL,AdL5
AdL,AdL6
AdL,AdL10
AdL,AdL14
AdL,AdL16
AdL,AdL20
AdL,AdL25
ADr,ADr10
ADT,ADT9
ADT,ADT12
ADT,ADT18
ADv,ADv10
ADv,ADv12
ADv,ADv14
ADv,ADv15
ADv,ADv17
ADv,ADv22
ADw,ADw5
ADw,ADw6
ADw,ADw17
ADw,ADw22
ADw,ADw27
ADw,ADw35
ADw,ADw40
ADw,ADw41
ADw,ADw45
ADw,ADw52
ADw,ADw60
ADw,ADw70
ADw,ADw72
ADw,ADw75
ADw,ADw78
ADw,ADw80
ADx,ADx1
ADx,ADx11
ADx,ADx12
ADx,ADx13
ADx,ADx14
ADx,ADx25
ADx,ADx30
ADx,ADx37
ADx,ADx39
ADx,ADx45
ADz,ADz10
ADz,ADz15
AEG,AEG25
AEG,AEG37
AEG,AEG41
AEG,AEG50
AEG,AEG60
AEG,AEG70
AES,AES10
AES,AES11
AES,AES70
AES,AES74
AES,AES80
AES,AES85
AES,AES90
AES,AES100
AEy,AEy2
AEy,AEy9
AEy,AEy12
AEy,AEy14
AEy,AEy16
AEy,AEy18
AfA,AfA10
AFl,AFl10
AHa,AHa10
AGi,AGi10
AHo,AHo1
AG,AG20
AG,AG30
AG,AG40
AG,AG70
AGe,AGe20
AgH,AgH1
AgH,AgH5
AgH,AgH10
AgH,AgH13
AgH,AgH15
AgH,AgH19
AMt,AMt10
AMt,AMt15
AGl,AGl10
AGl,AGl12
AGm,AGm10
AGr,AGr10
AGs,AGs10
AHb,AHb20
AHu,AHu1
AiE,AiE10
AII,AII1
AII,AII3
AiN,AiN10
AJa,AJa1
AJd,AJd10
AJG,AJG50
AJo,AJo10
AJP,AJP1
AJP,AJP2
AJP,AJP3
AJP,AJP5
AJP,AJP6
AJP,AJP7
AJP,AJP15
AJP,AJP25
AJP,AJP29
AJs,AJs1
AJy,AJy10
AK,AK50
AK,AK57
AK,AK59
AK,AK90
AKa,AKa5
AKa,AKa15
AKa,AKa20
AKe,AKe1
AKe,AKe5
AKj,AKj10
AKj,AKj11
AKj,AKj12
AKj,AKj13
AKj,AKj14
AKj,AKj15
AKj,AKj16
AKj,AKj17
AKj,AKj18
AKj,AKj19
AKj,AKj20
AKj,AKj21
AkK,AkK2
AkK,AkK7
AkK,AkK9
AkK,AkK11
AkK,AkK12
AkK,AkK14
AkK,AkK15
AkK,AkK20
AkK,AkK22
AkK,AkK23
AkK,AkK26
AkK,AkK27
AkK,AkK28
AkK,AkK29
AkK,AkK30
AkK,AkK31
AKl,AKl10
AKo,AKo10
AKo,AKo15
AkS,AkS10
AKu,AKu10
AL,AL8
AL,AL10
AL,AL11
AL,AL12
AL,AL13
AL,AL14
AL,AL16
AL,AL20
AL,AL21
AL,AL22
AL,AL26
AL,AL27
AlA,AlA10
AlA,AlA50
AlB,AlB10
AlC,AlC10
AlC,AlC14
AlC,AlC20
AlD,AlD10
ALe,ALe1
ALe,ALe2
ALe,ALe4
ALe,ALe7
AlG,AlG11
AlH,AlH8
AlH,AlH21
AlH,AlH24
AlH,AlH30
AlH,AlH38
ALi,ALi10
ALi,ALi15
AlJ,AlJ1
AlL,AlL3
AlM,AlM10
AlP,AlP15
AlR,AlR1
ALs,ALs10
AlT,AlT10
ALv,ALv10
ALv,ALv100
ALv,ALv101
AlW,AlW40
AlW,AlW60
AlZ,AlZ4
AlZ,AlZ5
AlZ,AlZ25
AM,AM12
AM,AM18
AM,AM20
AM,AM21
AM,AM23
AM,AM27
AM,AM29
AM,AM31
AM,AM35
AM,AM36
AMa,AMa10
AMa,AMa50
AMa,AMa56
AMa,AMa60
AMa,AMa61
AMa,AMa69
AMc,AMc15
AMD,AMD3
AMD,AMD10
