pcode,did,lname,fname,,,background/0,yearstart,yearend
D,PAa,Aaron,Paul,,,Am,1979,
D,JeA,Abel,Jeanne,,,Am,1971,
D,RAe,Abel,Robert,1937,2001,Am,1960,
A,GgA,Abbott,George,1887,,Am,1929,1958
W,AAh,Abraham,Adam,,,Am,1999,
W,xAb,Abrahams,,,,Am,1948,
W,JiA,Abrahams,Jim,,,Am,1980,1988
W,,Abrams,Jeffrey,1967,,Am,1991,1992
D,NAb,Abramson,Neil,,,Ct,1998,
D,TAb,Abduladze,Tengiz,,,,1977,
D,NAb,Abramson,Nel,,,Ct,1998,
D,RAA,Ackerman,Robert Allan,19xx,,Ct,1994,
D,NAA,Acub,Nya' Abbas,,,II,1957,
V,,Adam,Ken,1921,,Ge,1947,1993
D,AAd,Adams,Andrew,,,Am,2002,
D,AlA,Adamson,Al,,,Am,1969,1983
D,JuA,Addis,Justus,,,,1955,1957
D,GAe,Adler,Gilber,,,Ct,1996,
D,CAd,Adler,Carine,,,Br,1998,
D,PAd,Adlon,Percy,,,,1981,1994
A,IGA,Adolfi,John G.,1888,1933,Am,1915,1933
D,NyA,Adomenaite,Niyole,19xx,,Ru,1991,
D,DAf,Afredson,Daniel,19xx,,Sw,1993,
D,GAg,Aghion,Gabriel,,,Fr,1999,
D,MoA,Aguirre,Monte,19xx,,Ct,1991,
P,,Ahern,Fred,,,Br,,
D,CAm,Akerman,Chantal,19xx,,Be,1969,1993
D,MAk,Akkad,Mustapha,,,,1976,
W,,Allardice,James,,,Am,,
A,AAl,Alda,Alan,1936,,Am,1979,1986
D,RoA,Aldrich,Robert,1918,1983,Am,1953,1981
D,TGA,Alea,Tomas Gutierrez,1927,1996,Cu,1964,1968
D,GoA,Alessandrini,Goffredo,,,It,1942,
W,JAx,Alexander,Jourdon,19xx,,Ct,1992,
D,GAv,Alexandrov,Grigori,19xx,19xx,Ru,1934,
D,JAl,Algar,James,19xx,,Am,1954,1999
W,FcA,Aliwalas,Francisco,1965,199x,,1997,
W,DAl,Algrant,Dan,19xx,,Ct,1994,
D,MAl,All'egret,Marc,1900,1973,Fr,1931,1963
D,YAl,All'egret,Yves,1907,,Fr,1941,1963
A,CoA,Allen,Corey,1934,,Am,1977,1978
D,FAl,Allen,Fred,,,Am,1940,
W,InA,Allan,Irwin,1916,1991,Am,1955,1974
D,LAl,Allan,Lewis,1905,,Br,1944,1963
