name,studio_company,country,city,founder,successor,fddate,enddate
Phenakistiscope,,France,Paris,,,1832,
Zootrope,,Great Britain,,,,1834,
Phenakistiscope,,France,Paris,,L'anorthoscope,1835,
L'anorthoscope,,France,Paris,,,1836,
Photobioscope,,,,,,1867,
Pocket Kinematograph,,,,,,1868,
Zootrope,,France,Paris,,,1876,
Thaumatrope,,France,Paris,,,1877,
Life Projection Wheel?,,USA,Stanford CA,,,1880,
Schnellseher,,Germany,,,,1887,
Praxinoscope,,France,,,,1876,
Projection-Praxinoscope,,France,,,,1881,1882
Film Camera,,Germany,,,,1889,
35mm Film Camera,Edison,USA,New Jersey,,,1893,
Kinetoscope,Edison,USA,,,,1894,
Practical Projectors,Lumiere Fr.,France,Lyon,,,1895,
Vitascope? Projectors,Vitascope,USA,New York,,,1895,
Practical Projectors,M.Skladanowsky,Germany,Berlin,,,1895,
Phakinescope,,,,,,1896,
Selig Polyscope,Selig,USA,Chicago,,,1896,
Stereo-Praxinoscope,,France,,,,1902,
Skladanowsky,M. and E. Skladanowsky,Germany,Wintergarten Berlin,,,1895,
Lumiere,Lumiere Fr.,France,Grand Cafe Paris,,,1895,
Latham,"O.G. W.Latham",USA,New York,,,1895,
Dickson,W. Dickson,USA,New York,,,1895,
Pathe,Pathe Cinema SA,France,Paris,,,1902,1946
Cines,,Italy,Rome,,,1906,
Vitascope,,USA,,,,1908,
Edison,Edison Company,USA,New York,,,1904,
Essanay,George K.Spoor,USA,Chicago,,,1907,
MPP,Motion Picture Patents Co.,USA,Los Angeles,,General Film,1909,1915
IMP,Independent Motion Picture Co.,USA,New York,,Universal,1909,1912
IMP 2,Independent Motion Picture Co.,Cuba,,,,,
AFM,American Film Manufacturing,Canada,,,,1910,
Ebony,Ebony Motion Picture Co.,USA,Chicago,,,,
General Film,MPP,,,,,1910,
Great Northern,Nordisk Films Company,Denmark,,,,1911,1915
Chrystal,,USA,Bronx,,,1912,
Ambrosio,Societa Anonima Ambrosio,Italy,Turin,Arturo Ambrosio,,1912,1917
Eclair,,France,,,,1912,
Eclair 2,Eclair,USA,Ft.Lee NJ,,,1912,
MPSA,Motion Pictures Sales Agency Ltd,England,London,,,1913,
Artistica Gloria,,Italy,Turin,,,1913,
Famous,Famous Players,USA,New York,Adolph Zukor,Paramount,1913,1918
New York,New York Motion Pictures Company,USA,New York,,,1914,
Union,Union Film Produktion,Germany,Berlin,,UFA,1914,1917
World,World Film Corp.,USA,,,,1915,
Triangle,Triangle,USA,New York,Harry Aitkins,Paramount,1915,1917
Feature Play,Jesse L.~Lasky Feature Play Company,USA,New York,Lasky,Famous Players,1913,1916
Paramount,Paramount Corp.,USA,Los Angeles,William Wadworth Hodkinson,Paramount,1916,1993
Pickford,Pickford Film Corp.,USA,,Mary Pickford,,1917,1920
First National,First National,USA,,J.D. Williams,Warners,1917,1920
Chaplin,Chaplin Studios,USA,Los Angeles,Chaplin,,1918,1919
Standard,Standard Film Corp,USA,,,,1919,
FPL,Famous Players Lasky,USA,Los Angeles,,Paramount,1918,1920
PFL,Paramount Famous Lasky,USA,Los Angeles,,,1928,1994
UFA,Universum Film AG,Germany,Neubabelsberg,,,1917,1933
U.A.,United Artists,USA,Hollywood,Chaplin,MGM,1919,1983
Cineromans,Cineromans,France,Nice,Gaston Leroux,,1919,1922
Goldwyn,Goldwyn Pictures,USA,West Hollywood,Sam Goldwyn,MGM,1922,1934
Biograph,W.D.Griffith,USA,,,,1903,1910
