title,rel_year,director,producer,studio,prc,cat,award,lc
Jamaica Inn,1939,Hitchcock,Laughton,Elstree,bnw,dram,,London city work theater train resort
Family Plot,1976,Hitchcock,Hitchcock,Universal,col,susp,H*,London city church
Bon Voyage,1944,Hitchcock,Ministry of Inf.,Elstree,bnw,advt,H*,London city church
I Saw The Whole Thing,1962,Hitchcock,J.Harrison,Shamley,tv,susp,H*,Atlantic City resort home csd estate ship csd mountains hospital public town
Terrible Teddy; the Grizzly King,1901,Dickson,Thomas A. Edison,Edison,bnw,,H*,Atlantic City resort home csd estate ship csd mountains hospital public town
L\'assissinatat du Duc de Guise,1908,A.Lumiere,A.Lumiere,Lumiere,sbw,actn,H*,castle palace
Tess of The Storm Country,1914,E.S.Porter,Zukor,Famous,bnw,dram,H***,castle palace train train
L\'Homme a la Tete en Caoutchouc,1906,Melies,Zukor,Famous,bnw,,H***,castle palace train train bar school space theater
The Downward Path,1900,A.Marvin,Zukor,Biograph,sbw,dram,H***,castle palace train train bar school space theater
Richard III,1908,Unknown0,Zukor,Biograph,sbw,dram,H***,castle palace train train bar school space theater
The Magic Sword or A Medieval Mystery,1891,Booth,Zukor,Biograph,sbw,,H***,castle palace train train bar school space theater
Les Mis\\'erables,1909,Pathe,Pathe,Pathe,sbw,dram,H***,Paris city
The Life of Charles Pierce,1905,Haggar,Haggar,Pathe,bnw,biop,H***,Paris city
Kit Carson,1903,McCutcheon,Haggar,Biograph,bnw,advt,H***,Paris city
Parsifal,1904,Edison,Edison,Edison,bnw,biop,H***,Paris city theater
Sutter\'s Gold,1936,Cruze,Edison,Edison,bnw,musc,H***,Atlantic coast sea theater
The Dead Man\'s Claim,1912,Spoor,Spoor,Essanay,bnw,west,H***,Atlantic coast sea theater
The Lion of Venice,1914,Maggi,Arturo Ambrosio,Ambrosio,bnw,dram,H***,Venice city
Abraham Lincoln,1930,Griffith,Joseph Schenck,U.A.,sbw,biop,,Washington town city
Romeo and Juliet,1916,Unknown2,Joseph Schenck,U.A.,bnw,romt,,Washington town city
Le Binetoscope,1909,Cohl,Joseph Schenck,Gaumont,bnw,,,Washington town city
Marin Valiero; Doge of Venice,1909,deLiguoro,Joseph Schenck,SaffiComerio,bnw,hist,,Venice city
Love Everlasting,1913,Caserini,Joseph Schenck,Artistica Gloria,bnw,dram,,Paris palace city
Gertie the Dino,1909,Mackay,Joseph Schenck,Artistica Gloria,bnw,,,Paris palace city
All on Account of Milk,1910,F.Powell,Joseph Schenck,Biograph,bnw,romt,,Paris palace city
The Merchant of Venice,1910,loSavio,Joseph Schenck,Film d\\'Arte Italia,bnw,dram,,Venice city
Life of Moses,1910,Blackton,Joseph Schenck,Vitagraph,col,biop,,Venice city
Lucky to Me,1939,Bentley,Joseph Schenck,BIP ,bnw,dram,,Venice city store store store
Francesca di Rimini,1911,Falena,Joseph Schenck,Film d\\'Art Paris,bnw,romt,,Venice city store store store
Homer\\'s Odyssey,1911,Padovan,Joseph Schenck,Milano Films,bnw,advt,,Venice city store store store
The Vampire Dancer,1911,Blom,Joseph Schenck,Great Northern,bnw,dram,,Venice city store store store
L\\\'Enfant de Paris,1913,Perret,Joseph Schenck,Great Northern,bnw,dram,,Venice city store store store
Clios and Phyletes,1911,Mentasti,Joseph Schenck,Itala,bnw,dram,,Venice city store store store
Custer\\\'s Last Fight,1925,Th.Ince,Th.ince,Quality Amusememt Inc.,bnw,west,,Venice city store store store mil.inst.
The Aviator\\\'s Generosity,1911,Gad,Th.ince,Great Northern,bnw,dram,,Venice city store store store mil.inst.
A Tale of Two Cities,1911,Humphrey,Th.ince,Great Northern,bnw,dram,,Venice city store store store mil.inst.
Slightly Scarlet,1956,Dwan,Bogeaus,RKO,col,dram,,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city
The Eddie Cantor Story,1953,A.E.Green,Sidney Skolsky,Warners,tcol,musc,,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater
The Hucksters,1947,Conway,Lawrence Weingarten,MGM,bnw,romt,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public
Comedy of the absurd,1912,Durand,Lawrence Weingarten,Gaumont,bnw,,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public
Au nom de la loi,1931,M.Tourneur,World,Gaumont,bnw,cnr,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public
Queen Elizabeth,1912,Mercanton,World,Engadine Amusement Co,bnw,biop,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public law
Shoes,1920,Weber,World,Universal,sbw ,musc,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public law
My Wife\\\'s Lodger,1952,Elvey,Victor M. Greene,Admiral,bnw,susp,,London city train
Fatty and Mabel\\\'s Simple Life,1915,Mack~Sennett,Mack~Sennett,Keystone,bnw,,,San Diego city
Street of Sin,1928,M.Stiller,Mack~Sennett,MGM,bnw,dram,H*,Paris city csd hotel
Monsieur Beaucaire,1924,Olcott,Mack~Sennett,Zokor-Lasky,bnw,hist,H*,Paris city csd hotel
The Wind,1927,Seastrom,Lars Hanson,MGM,sbw,dram,H***,Paris city csd hotel town csd
Within the Law,1923,UnYear12,Lars Hanson,MGM,sbw,cnr,H***,Paris city csd hotel town csd
The Last Days of Pompeii,1913,Rodolfo,Lars Hanson,Ambrosio,bnw,dram,H***,Paris city csd hotel town csd
Rhapsodia Satanica,1917,Oxilia,Lars Hanson,Cines,bnw,romt,H***,Paris city csd hotel town csd
Fedora; or Piu Forte dell\'Odio e Amore,1913,Gonsalvi,Lars Hanson,Aquila,bnw,dram,H***,Paris city csd hotel town csd
Blade O\'Grass,1915,George,Lars Hanson,Edison,bnw,west,H***,Paris city csd hotel town csd
The Ten Commandments,1956,DeMille,Henry Wilcoxon,Paramount,tcol,dram,H*,St.Louis city am.park
Anthony and Cleopatra,1913,Guazzoni,Henry Wilcoxon,Cines,bnw,dram,H*,St.Louis city am.park
Andy Hardy\\\'s Blonde Trouble,1944,Seitz,Lucien Hubbard,MGM,bnw,,,St.Louis city am.park csd
East Lynne,1913,Haldane,William George Barker,MGM,bnw,dram,,St.Louis city am.park csd
Raja Harishchandra,1913,Phalke,William George Barker,MGM,bnw,dram,,St.Louis city am.park csd
Beau Ideal,1931,Brenon,William leBaron,Paramount,bnw,actn,,St.Louis city am.park csd resort desert desert
Abschied von Afrika,1956,Schomburgk,Schomburgk,Paramount,bnw,docu,,St.Louis city am.park csd resort desert desert csd csd
Der Golem,1920,Wegener,Schomburgk,UFA,sbw,docu,,St.Louis city am.park csd resort desert desert csd csd
Tarzan the Mighty,1928,Unknown42,Schomburgk,UFA,bnw,advt,,St.Louis city am.park csd resort desert desert csd csd
The Memory of the Other,1914,DegliAbbati,Schomburgk,Aristica Gloria,bnw,,,St.Louis city am.park csd resort desert desert csd csd
An Ideal Husband,1947,A.Korda,A.Korda,London Films,bnw,,,Trafalgar city sea
A Countess from Hong Kong,1966,Chaplin,Chaplin,England,bnw,dram,H***,Paris city
Carmen di Travestere,1962,Gallone,Gallone,S.A. Grandi,bnw,dram,H***,Paris city
The Spoilers,1914,C.Campbell,Selig,S.A. Grandi,sbw,dram,H***,Paris city csd
Der Stolz der Firma,1914,Wilhelm,Selig,Union,bnw,,H***,Berlin city
In The Land of the War Canoes,1914,E.Curtis,Selig,Union,bnw,dram,H***,Kwakiutl  island
Cluny Brown,1946,Lubitsch,Lubitsch,Fox,bnw,romt,H***,NYC afterlife city
Hedda Gabler,1919,Fosco,Lubitsch,Itala,bnw,dram,H***,NYC afterlife city
The Typhoon,1914,R.Barker,Th.Ince,New York,bnw,dram,H***,NYC afterlife city
The Hairy Ape,1944,Santell,Th.Ince,Fox,bnw,dram,,NYC afterlife city school csd hospital
Are We Civilized?,1934,Carewe,Lloyd Sheldon,Paramount,bnw,advt,H*,NYC afterlife city school csd hospital csd
La Coquille et le Clergyman,1926,Dulac,Lloyd Sheldon,Delia,sbw,,H*,NYC afterlife city school csd hospital csd
The Light That Failed,1940,Melford,Lasky,Paramount,bnw,dram,H*,London city
The Woman of the Camelias,1915,Serena,Lasky,Ceasar,bnw,dram,H*,London city
Voltaire,1933,Adolfi,Lasky,Warners,bnw,biop,,London city
It\\\'s the Law,1924,G Edwards,Lasky,Warners,bnw,dram,,London city
Johnny Doen\\\'t Live Here Any More,1944,J.May,Burt Kelly,US,bnw,dram,,Berlin city
The Corporal\\\'s Daughter,1915,L.West,Burt Kelly,Thomas Edison,bnw,,,Berlin city
Judex,1917,Feuillade,Burt Kelly,Gaumont,prc,cnr,,Paris city
A Distant Trumpet,1964,Walsh,none,Warners,wcol,dram,,Brooklyn city ship mil.inst. estate
Assassins et Voleurs,1957,Guitry,none,Gaumont,bnw,,,Paris city work town
Huckleberry Finn,1920,W.D.Taylor,none,RealArt,bnw,dram,,S.F. city csd
The Dancer of Paris,1928,Unknown15,none,RealArt,bnw,,,S.F. city csd theater
Thais,1916,A.Bragaglia,none,Novissima ,bnw,,,S.F. city csd theater
Austerlitz,1960,Gance,Gance,Soc.Gen.des Films,col,hist,H****,S.F. city csd theater mil.inst.
Jiggs and Maggie in Court,1948,Cline,Erle C. Kenton,Universal,bnw,,H****,NYC city
Tender is the Night,1961,H.King,D.F.Zanuck,Fox,movielab,advt,,Paris city
La Lois du Nord,1939,Feyder,A.Korda,London,bnw,romt,H**,Flanders csd>
